ID,plot #,Scarified,seeded,Germinants,proportion,month seeded,paired,year,source,SiteID
1,1,yes,25,1,0.04,Nov,yes,2008,EE wilson,EE wilson2008
2,2,yes,25,4,0.16,Nov,yes,2008,EE wilson,EE wilson2008
3,3,yes,25,0,0,Nov,yes,2008,EE wilson,EE wilson2008
4,4,yes,25,0,0,Nov,yes,2008,EE wilson,EE wilson2008
5,5,yes,25,0,0,Nov,yes,2008,EE wilson,EE wilson2008
6,6,no,25,3,0.12,Nov,yes,2008,EE wilson,EE wilson2008
7,7,no,25,7,0.28,Nov,yes,2008,EE wilson,EE wilson2008
8,8,yes,25,2,0.08,Nov,yes,2008,EE wilson,EE wilson2008
9,9,yes,25,0,0,Nov,yes,2008,EE wilson,EE wilson2008
10,10,no,25,2,0.08,Nov,yes,2008,EE wilson,EE wilson2008
11,11,yes,25,0,0,Nov,yes,2008,EE wilson,EE wilson2008
12,12,yes,25,1,0.04,Nov,yes,2008,EE wilson,EE wilson2008
13,13,no,25,5,0.2,Nov,yes,2008,EE wilson,EE wilson2008
14,14,yes,25,0,0,Nov,yes,2008,EE wilson,EE wilson2008
15,15,yes,25,0,0,Nov,yes,2008,EE wilson,EE wilson2008
16,16,no,25,7,0.28,Nov,yes,2008,EE wilson,EE wilson2008
